,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
123038,76785.0,-0.844342423749357,1.23638955250235,1.19992087871526,-0.161274234825717,-0.0997995612928053,-0.128402090097834,0.234659679875479,0.606470172483509,-0.931150745340459,-0.435840671443151,1.48596082144011,1.24022656766038,0.662781880502199,0.549237744507361,0.286847172256141,0.194559832856007,-0.236829469346763,-0.347443464268005,-0.0650621726294822,0.0227855708430654,-0.0953292868733415,-0.324125132162289,0.057141081088633,0.0153936246077076,-0.247087411912708,0.0836281188905098,0.154785054649837,0.0469903536148491,9.81,0
280922,169841.0,2.0749141186332,0.0986807777873964,-2.44993700488466,0.423132175714269,0.645323185215894,-1.79170283302239,1.04503912367409,-0.633791520841986,0.186182275499144,0.0769654485176528,-0.886555697260859,-0.151542582111584,-1.00644706728933,1.06267661004028,0.0094751342261784,-1.05339392366038,-0.0041177672703054,-0.508720261626343,0.0265261670701221,-0.275841121102822,0.305137602838093,1.01490550886696,-0.231764978046064,0.0217380233708609,0.779453401115463,0.12663630503658,-0.0839648793149088,-0.0828391409426121,32.0,0
120366,75803.0,-1.17849837347511,-5.43156907663218,-1.43044035140464,-0.250480494694306,-2.51710592917942,0.208833961455238,0.877882590622752,-0.328913833316433,-2.09752866241453,0.908669990959093,1.06355475555738,-0.434427930264474,-0.463348501813218,0.358742866794299,-0.564036491440266,-0.854880370736495,0.996895204895473,0.114987879862531,-0.443477480221485,2.33144934762165,0.681541743989702,-0.647967697241881,-1.25396039737887,0.0714731590724264,0.0455711068970651,-0.192941853031168,-0.233485246316756,0.229956981700221,1371.35,0
278021,167996.0,0.387041179480081,0.593445133867685,-0.852298344341002,-0.133524929550363,0.619570489994126,-1.05534474911352,2.14897052559256,-1.43246218568125,-1.75589572468052,1.22300156323773,0.0625898107967939,-1.75614180704791,-0.154584290569969,-1.38855277075761,0.987159675169835,-0.951619909911788,2.20055426631192,-0.896505896460745,3.24865425660157,0.506808067024183,0.364051294274422,1.77226501153263,-0.595827735621275,0.0272968917493382,0.121295499091452,0.595527361820785,-0.532667014542817,-0.51862569832453,118.99,0
201222,133783.0,1.89162783293598,-0.421687282242587,-0.0310656003848201,0.484670814289104,-1.01418908885008,-0.693739671878894,-0.636972007326752,0.114845621661958,1.16316587736315,0.0324260562373046,1.22986355520884,0.77981644470856,-1.29815102728402,0.439656826905535,0.0896802143837563,0.224174048317994,-0.465573469170846,0.177484730821511,-0.0593468985146127,-0.317735823293794,-0.0997004128344425,-0.224908506745202,0.44983700248188,0.411505540766408,-0.588698016344363,-0.6669896353607,0.0273336323247777,-0.0382818160078739,7.5,0
11152,19302.0,1.10998457368581,0.368032146472979,-0.0614074633905216,1.37684439669606,0.0704373792074676,-1.10057294493251,0.610397343104251,-0.487200972217756,0.920589269408445,-0.380883535209462,0.66778094520241,-2.02353246637006,2.15135756928188,1.91903335825928,-0.0987002015930611,-0.256588708570799,0.392087354953442,-0.138442051522545,-0.485983106306593,0.0136617380094857,-0.0885825227121911,-0.12634338338361,-0.217999247184606,0.358122109210467,0.814625516435019,-0.345815300012064,-0.0481111277181352,0.0209563270786775,89.99,0
9372,13698.0,-1.05345264878024,0.246803896621459,2.66867927257714,-1.84053798238756,0.0113312457621563,1.42945742908027,-0.383562649857362,0.620278868889115,2.43728992641341,-1.74182612107904,0.431461610484022,-1.57531846272288,1.663574768238,0.246082933994969,-3.26049466120361,0.44905292455265,0.106392668746385,0.114285901508793,-0.740417223518733,-0.0746147985153195,-0.257972135777779,-0.072423797893821,-0.465903727539868,-1.08766172339008,0.415156855612394,1.23178788289372,0.193598073267597,0.0738768224917806,2.92,0
101120,67732.0,1.23069631001465,-1.14707782648216,1.63740594165634,-0.340380386832445,-1.74767662664011,0.911126671914905,-1.75960330812165,0.524421582951907,0.491989207841018,0.395916184565645,0.70676193748652,0.523668184510998,-0.379054600269898,-1.11183654658378,-1.78902362353098,0.477038964057237,0.935206730525999,-1.28169955252075,0.924236827454926,-0.0156797374832278,0.213190833114115,0.968415923041863,-0.0678539024828648,0.0927568710009042,0.368898674428818,-0.032243268797042,0.0975343453003811,0.0125417469704922,1.0,0
94776,65025.0,-2.10532656292868,2.00642182225398,-0.712139803392484,1.02701224102883,-0.366441116722367,-0.868039608276333,-0.0595905122672965,1.08858313458726,-0.272862700591315,-0.171113916283915,-0.579273609782808,-0.886648381204835,-1.92519749495456,0.259458510103949,1.43963505776786,-0.0408112767817986,1.49500843234898,0.279593420096692,-0.0718547968237296,-0.137539478212344,-0.0178608828982185,0.0750265565753017,0.134848749572422,-0.0689249914911105,-0.15892440102347,-0.333113946798095,0.0357127113261506,-0.0952317806899487,22.01,0
143918,85725.0,1.23670835605817,0.320017492893592,-0.892979616786216,1.31269125491181,2.32311256677043,3.72311056192542,-0.450600801307916,0.88144798294546,-0.863352795724083,0.745890675216452,-0.300650883765014,-0.253954689587281,0.0265137215939462,0.41494584183299,0.726689139163705,1.04342414043032,-1.14365932243943,0.140219890615728,-0.634952801320787,-0.0172367251417408,-0.123277210948023,-0.558825108159975,-0.0167218557929619,0.977211003491704,0.580502488943069,-0.0591715875494575,-0.0070540892387241,0.0185503367063828,7.87,0
15018,26351.0,1.34414290085018,-1.68513705291319,1.5196415341441,-0.949422683918278,-2.23401340243213,0.771197214248608,-2.00329129986112,0.366806138345109,-0.509696050755013,1.16516229050935,-0.0771253700467037,0.409761251278419,0.426910741351494,-1.50509464302365,-2.73429826214804,-0.898916112407956,0.953152648733856,0.356351530370686,0.827135696176026,-0.296576066071442,-0.267542530301618,0.0352646159399182,-0.0737882379182677,0.0493954544689382,0.402744847333862,-0.081142349415431,0.105137344238232,0.0221507729853012,31.5,0
176306,122710.0,2.02588508265289,-0.0410791974361195,-1.24796066365461,0.273742773626458,-0.0214119135326971,-1.09807496340653,0.15936138664355,-0.267668701923169,0.32488132298299,0.183311292393557,1.09385921270391,1.03794643172151,0.0034500095856065,0.681945737654644,0.0288655072979488,-0.0493589491911398,-0.722012187286258,0.395010408361156,0.0226027917115258,-0.236667566801981,0.302939714106257,1.00905228617409,-0.0008858522540759,0.115847928752356,0.227269060448058,-0.133939871925854,-0.0229028740954195,-0.0679070575417702,0.89,0
